Age,prev2003,n2003,prev2004,n2004,prev2005,n2005,prev2006,n2006,prev2007,n2007,prev2008,n2008,prev2009,n2009,prev2010,n2010,prev2011,n2011
15,2,137,6,76,4,252,1,206,7,157,10,165,1,4,2,147,2,27
16,10,160,22,308,16,410,21,411,13,326,15,293,9,157,16,320,11,275
17,12,153,23,347,20,388,33,374,18,324,22,296,21,262,16,299,26,306
18,22,159,43,321,29,355,34,317,39,302,32,304,21,247,43,287,29,261
19,25,145,48,298,58,312,37,302,42,272,36,254,43,258,40,231,30,223
20,25,126,54,260,45,317,62,273,49,231,48,247,41,231,45,249,41,198
21,24,86,66,220,64,247,53,211,51,199,50,208,46,183,61,226,48,197
22,21,80,64,182,87,253,54,203,49,176,48,179,55,179,51,193,59,191
23,31,81,49,132,64,167,70,181,69,169,56,163,54,156,77,202,64,173
24,26,56,65,132,65,165,51,132,57,144,66,154,60,155,66,168,63,162
25,17,46,54,126,66,131,46,120,47,115,51,144,57,142,76,175,57,137
26,19,35,65,115,49,106,50,111,38,92,50,108,47,126,82,175,66,152
27,29,50,61,130,53,104,42,97,42,91,52,102,47,93,78,143,69,142
28,28,48,62,112,49,97,44,78,55,99,44,86,49,93,82,146,82,149
29,28,52,46,100,43,106,41,94,38,67,46,88,54,96,76,129,55,107
30,21,44,57,103,65,119,53,94,52,84,49,85,38,77,70,112,46,83
31,17,42,46,94,47,97,46,94,44,91,41,83,53,91,61,107,78,108
32,19,41,39,79,38,88,44,89,34,67,45,78,47,85,66,114,53,105
33,24,54,51,99,43,104,39,80,35,85,44,87,32,62,68,119,49,93
34,18,41,44,100,38,90,33,83,43,78,39,83,40,88,59,99,72,103
35,19,45,41,105,47,108,38,79,29,78,36,75,28,64,51,101,54,83
36,16,43,27,79,45,118,24,78,40,82,35,81,48,90,63,112,49,94
37,15,37,28,78,41,100,42,116,19,74,33,68,30,72,64,116,60,111
38,18,57,28,95,36,111,29,75,30,83,26,77,34,69,45,103,52,102
39,11,47,36,116,34,98,28,98,33,83,39,91,32,78,55,93,41,88
40,12,54,32,107,43,122,37,98,26,74,26,63,30,76,44,91,49,86
41,14,41,33,112,24,112,24,109,31,76,26,71,28,65,49,110,33,85
42,13,45,27,106,28,123,26,93,42,95,33,75,28,73,32,83,43,101
43,13,50,22,96,34,114,25,111,26,102,35,88,22,69,33,83,38,91
44,12,48,22,103,36,132,28,100,23,83,19,90,32,89,36,83,37,99
45,14,46,31,126,25,118,21,105,28,94,20,90,26,89,53,121,26,79
46,6,50,27,112,26,120,23,101,23,93,26,93,23,96,40,122,42,100
47,5,35,23,109,34,143,24,119,16,99,32,98,22,80,34,105,38,110
48,11,44,18,90,14,92,24,115,22,111,34,121,20,87,33,112,38,112
49,9,54,18,93,16,109,8,91,18,107,32,128,39,112,36,135,29,105
